Rank,Name,Country,Established,Academic Staff,Number of Students,Minimum Tuition cost,Volumes in the library,Endowment
81, University of Connecticut,us,1881,4624,32669,"$17,500.00",1408112,$0.634B
82, University of Houston,us,1927,3263,46676,"$7,500.00",1591633,$0.78577B
83," University at Buffalo, State University of New York",us,1846,2509,32347,"$10,000.00",1975468,$1B
84, University of Kentucky,us,1865,,33885,"$12,500.00",2464840,$2.13B
85, University of Illinois Chicago,us,1858,2961,33522,"$15,000.00",1895501,$0.803B
86," University of California, Riverside",us,1954,1638,26809,"$12,500.00",4524786,$0.24987B
87, Rice University,us,1891,680,8672,"$50,000.00",1910805,$7.814B
88, York University,ca,1959,,55700,"$5,000.00",,$0.6327B
89, University of Central Florida,us,1963,1906,69320,"$5,000.00",1702376,$0.2287B
90, University of Missouri,us,1839,4215,31041,"$10,000.00",2332981,$1.42B
91, Georgia State University,us,1913,1586,50521,"$7,500.00",1062996,$0.1708B
92, Northeastern University,us,1898,3049,38760,"$50,000.00",521531,$1.3B
93, University of Calgary,ca,1966,1848,36330,"$5,000.00",,$0.81B
94, University of Kansas,us,1865,1566,13763,"$10,000.00",5906680,$2.36B
95, University of Delaware,us,1743,1328,24221,"$15,000.00",3343094,$1.78B
96, McMaster University,ca,1887,992,37589,"$2,500.00",,$0.62897B
97," The University of Tennessee, Knoxville",us,1794,1700,38728,"$12,500.00",1562649,$1.01B
98, University of New Mexico,us,1889,,25441,"$7,500.00",3928765,$0.5773B
99, University of Miami,us,1925,3513,19593,"$50,000.00",1762243,$1.37B
100, University of North Texas,us,1890,3327,46940,"$10,000.00",1402690,$0.3408B
101, Western University,ca,1878,1432,36205,"$5,000.00",,$0.9B
102, Université de Montréal,ca,1878,7329,66972,"$1,000.00",,$0.27898B
103, University of South Carolina,us,1801,1604,38000,"$12,500.00",1756797,$0.989B
104, University of Victoria,ca,1963,900,22060,"$2,500.00",,$0.36338B
105, Boston College,us,1863,1848,15106,"$50,000.00",1495059,$3.3B
106, Louisiana State University,us,1860,1500,37354,"$10,000.00",2755252,$0.6642B
107, Florida International University,us,1965,7665,54085,"$5,000.00",1356769,$0.276B
108, San Diego State University,us,1897,2135,37539,"$7,500.00",1200643,$0.4157B
109, Temple University,us,1884,2125,30005,"$15,000.00",1863984,$0.839B
110, Drexel University,us,1891,,24205,"$50,000.00",293120,$0.966B
111, University of Cincinnati,us,1819,3789,53235,"$10,000.00",2837726,$1.92B
112, Clemson University,us,1889,2103,28747,"$15,000.00",721652,$0.994B
113, University of New Hampshire,us,1866,997,14784,"$17,500.00",992229,$0.4751B
114, Rochester Institute of Technology,us,1829,1547,20570,"$50,000.00",312388,$1.274B
115, University of Vermont,us,1791,4125,14088,"$17,500.00",1179730,$0.896B
116, Utah State University,us,1888,1101,28900,"$7,500.00",1238984,$0.5384B
117, Université Laval,ca,1852,,47690,"$1,000.00",,$0.26094B
118, Queen's University,ca,1841,3925,33842,"$5,000.00",,$0.98B
119, American University,us,1893,,13019,"$50,000.00",795299,$1.032B
120, Case Western Reserve University,us,1826,1182,12475,"$50,000.00",1184207,$2.397B
121, Fordham University,us,1841,747,16556,"$50,000.00",1099406,$0.972B
122, Virginia Commonwealth University,us,1838,3279,28919,"$15,000.00",1357099,$2.72B
123, The University of Oklahoma,us,1890,3752,34523,"$7,500.00",4359162,$1.81B
124, Oklahoma State University,us,1890,1337,26805,"$7,500.00",1977786,$1.004B
125, The University of Alabama,us,1831,1986,39622,"$10,000.00",2070476,$1.22B
126, Toronto Metropolitan University,ca,1948,,47350,"$5,000.00",,$0.9433B
127, West Virginia University,us,1867,1870,24200,"$7,500.00",1233721,$0.58392B
128, Portland State University,us,1946,1951,21040,"$7,500.00",1071878,$0.6783B
129, Auburn University,us,1856,1432,34195,"$10,000.00",1660975,$1.1B
130, Rensselaer Polytechnic Institute,us,1824,488,8142,"$50,000.00",257853,$0.59803B
131, University of Ottawa,ca,1848,2911,48800,"$5,000.00",,$0.22239B
132, Tulane University,us,1834,1200,14027,"$50,000.00",1829754,$2.11B
133, The University of Tennessee at Martin,us,1927,835,6873,"$7,500.00",280228,$0.051B
134, Carleton University,ca,1942,5328,30760,"$5,000.00",,$0.25015B
135, University of Alabama at Birmingham,us,1969,3096,24259,"$7,500.00",909616,$1B
136, Wayne State University,us,1868,2320,23964,"$15,000.00",1561853,$0.507B
137," University at Albany, State University of New York",us,1844,675,16658,"$10,000.00",1281987,$0.1009B
138, Southern New Hampshire University,us,1932,161,3913,"$15,000.00",97859,$0.04B
139, Baylor University,us,1845,1167,20824,"$50,000.00",1262208,$1.97B
140, University of Arkansas,us,1871,1490,32140,"$7,500.00",1053333,$1.7B
141," University of Maryland, Baltimore County",us,1966,1288,14148,"$10,000.00",893083,$0.1671B
142, Texas Tech University,us,1923,2094,40969,"$10,000.00",2988821,$2.23B
143, San José State University,us,1857,2179,36062,"$7,500.00",836298,$0.2508B
144, University of North Carolina at Charlotte,us,1946,1456,30298,"$5,000.00",761111,$0.3445B
145, Mississippi State University,us,1878,1359,22649,"$7,500.00",1973248,$0.6982B
146, San Francisco State University,us,1899,1822,22029,"$5,000.00",914530,$0.1614B
147, The University of Texas MD Anderson Cancer Center,us,1941,,,"$5,000.00",12028,
148, Dalhousie University,ca,1818,867,20970,"$7,500.00",,$0.47171B
149, University of Saskatchewan,ca,1907,,26694,"$2,500.00",,$0.35238B
150, University of Guelph,ca,1964,830,29923,"$7,500.00",,$0.30801B
151, Brandeis University,us,1948,544,5302,"$50,000.00",998146,$1.26B
152, University of Wisconsin-Milwaukee,us,1885,684,22937,"$7,500.00",255496,$0.323B
153, Southern Methodist University,us,1911,1151,12116,"$50,000.00",1548747,$2.12B
154, Marquette University,us,1881,1200,11200,"$45,000.00",1278386,$0.9168B
155, Kansas State University,us,1863,1404,20295,"$10,000.00",1119164,$0.95228B
156, Kent State University,us,1910,2623,25630,"$10,000.00",1148534,$0.3014B
157, University of Manitoba,ca,1877,5252,30370,"$2,500.00",,$0.878B
158," University of Nevada, Reno",us,1874,1082,20945,"$7,500.00",666944,$0.458B
159, Concordia University,ca,1974,4439,49898,"$2,500.00",,$0.23811B
160, Stony Brook University,us,1957,3027,25710,"$10,000.00",1445527,$0.3905B
161, DePaul University,us,1898,862,21348,"$40,000.00",547711,$0.9076B
162," California State University, Northridge",us,1958,2187,36368,"$5,000.00",734260,$0.2294B
163, University of Denver,us,1864,782,13384,"$50,000.00",1369915,$1.02B
164, Liberty University,us,1971,3810,96709,"$15,000.00",356288,$2.1B
165, College of William & Mary,us,1693,738,9517,"$20,000.00",1193559,$1.5B
166," University of Nevada, Las Vegas",us,1957,1000,31142,"$7,500.00",923019,$0.3884B
167, Northern Illinois University,us,1895,,15649,"$12,500.00",2694413,$0.0998B
168, Florida Atlantic University,us,1961,1600,23683,"$2,500.00",866328,$0.285B
169, Oregon Health & Science University,us,1887,,4123,"$20,000.00",77495,$0.8297B
170, Michigan Technological University,us,1885,477,7009,"$17,500.00",372947,$0.15152B
171, The University of Texas at Dallas,us,1969,2784,30885,"$12,500.00",1210008,$0.859B
172," California Polytechnic State University, San Luis Obispo",us,1901,1469,21497,"$10,000.00",262469,$0.2853B
173, New Mexico State University,us,1888,2519,21694,"$5,000.00",900976,$0.3433B
174, Montana State University,us,1893,1370,17144,"$7,500.00",491618,$0.264B
175, Quinnipiac University,us,1929,350,9744,"$50,000.00",116951,$0.674B
176, United States Military Academy,us,1802,580,4294,,461198,$0.422B
